trial_number,video_name,Joy,Inspiration,Tenderness,Sadness,Fear,Disgust,Arousal,Valence,Familiarity,Liking,type,subject,actualOrder,stimulus,labelAngie
40.0,23,0.0,0.0,0.0,1.19,1.19,0.0,1.05,1.4,0.0,2.24,imagen,5,2.0,sad8,Sadness
9.0,23,0.0,0.0,0.0,0.0,0.0,5.25,5.18,0.0,5.739999999999999,0.0,imagen,5,3.0,dis4,Disgust
41.0,23,0.0,0.0,0.0,0.0,1.12,5.46,4.13,0.84,1.75,0.0,imagen,5,4.0,dis5,Disgust
29.0,23,0.0,0.0,0.0,0.0,0.0,5.04,4.760000000000001,1.33,1.75,0.0,imagen,5,5.0,dis8,Disgust
42.0,23,0.0,0.0,0.0,0.0,0.84,0.0,0.35,2.66,1.12,4.62,imagen,5,6.0,fear4,Fear
7.0,23,2.24,4.760000000000001,0.0,0.0,0.0,0.0,4.34,4.13,5.109999999999999,4.06,imagen,5,7.0,fear5,Inspiration
30.0,23,0.0,0.0,0.0,0.0,0.63,0.0,0.7000000000000001,0.98,3.36,1.54,imagen,5,8.0,fear8,Fear
13.0,23,2.31,4.13,1.54,0.0,0.0,0.0,3.64,4.55,5.32,5.32,imagen,5,9.0,neu4,Inspiration
14.0,23,4.13,3.78,4.2,1.75,0.0,0.0,2.31,4.48,4.34,5.18,imagen,5,10.0,neu5,Tenderness
15.0,23,4.62,3.850000000000001,1.33,0.0,0.0,0.0,3.22,4.899999999999999,4.06,3.5,imagen,5,11.0,neu8,Joy
19.0,23,4.41,4.760000000000001,0.63,0.0,1.68,0.0,4.899999999999999,5.390000000000001,5.88,5.32,imagen,5,12.0,joy4,Inspiration
21.0,23,0.56,0.63,0.7000000000000001,0.0,0.0,0.0,0.63,5.04,0.77,4.48,imagen,5,13.0,joy5,Tenderness
4.0,23,4.48,5.04,4.55,0.0,0.0,0.0,3.01,4.899999999999999,4.34,4.760000000000001,imagen,5,14.0,joy8,Inspiration
5.0,23,4.2,4.62,5.32,0.0,0.0,0.0,4.13,5.32,7.0,7.0,imagen,5,15.0,ten4,Tenderness
32.0,23,0.98,1.54,3.71,5.04,0.63,0.0,3.15,3.99,3.22,5.390000000000001,imagen,5,16.0,ten5,Sadness
20.0,23,4.62,4.2,5.67,0.0,0.0,0.0,4.27,5.390000000000001,4.06,5.88,imagen,5,17.0,ten8,Tenderness
31.0,23,2.45,5.04,1.47,0.0,0.0,0.0,2.94,4.97,4.13,5.46,imagen,5,18.0,ins4,Inspiration
6.0,23,3.850000000000001,4.27,3.57,0.0,0.0,0.0,2.87,4.41,2.38,4.62,imagen,5,19.0,ins5,Inspiration
33.0,23,0.56,1.96,0.0,0.0,0.0,0.0,0.84,5.739999999999999,4.41,4.97,imagen,5,20.0,ins8,Inspiration
25.0,23,4.899999999999999,0.0,0.0,0.91,0.0,0.0,4.69,3.5,7.0,3.5,video,5,0.0,sad4,Joy
11.0,23,0.0,0.0,0.42,5.81,0.0,1.33,3.22,2.52,0.0,2.8,video,5,1.0,sad5,Sadness
37.0,23,0.0,0.0,1.75,5.04,0.0,0.0,4.41,3.36,0.0,3.5,video,5,2.0,sad8,Sadness
12.0,23,0.0,0.0,0.0,0.0,0.84,4.83,4.69,2.73,0.0,0.77,video,5,3.0,dis4,Disgust
38.0,23,0.0,0.0,1.96,0.0,0.0,1.26,2.17,4.69,0.0,3.5,video,5,4.0,dis5,Tenderness
26.0,23,1.4,4.48,0.0,1.4,0.0,1.4,2.8,4.48,0.0,2.52,video,5,5.0,dis8,Inspiration
39.0,23,0.0,0.0,0.0,1.89,2.66,0.0,4.48,1.4,5.95,4.34,video,5,6.0,fear4,Fear
10.0,23,5.109999999999999,1.68,0.84,0.0,0.49,0.0,4.899999999999999,3.57,6.02,5.32,video,5,7.0,fear5,Joy
27.0,23,0.0,0.0,1.05,0.0,0.28,0.0,0.84,3.5,6.23,2.59,video,5,8.0,fear8,Tenderness
16.0,23,2.45,3.64,0.0,0.0,0.0,0.0,0.98,4.48,0.63,3.78,video,5,9.0,neu4,Inspiration
17.0,23,0.0,0.0,0.0,0.0,0.0,0.0,1.12,2.45,0.0,2.17,video,5,10.0,neu5,Neutro
18.0,23,0.49,0.63,0.0,0.0,0.0,0.0,0.56,3.99,4.899999999999999,4.2,video,5,11.0,neu8,Inspiration
22.0,23,4.48,2.87,0.0,3.71,0.0,0.0,4.34,3.92,0.0,4.62,video,5,12.0,joy4,Joy
